Year,Rank,Team,Points,Points Scored,Points Conceded,Points Difference
2024,1.,Ireland,20,144,60,84
2024,2.,France,15,128,122,6
2024,3.,England,14,118,123,-5
2024,4.,Scotland,12,115,115,0
2024,5.,Italy,11,92,126,-34
2024,6.,Wales,4,92,143,-51
2023,1.,Ireland,27,151,72,79
2023,2.,France,20,174,115,59
2023,3.,Scotland,15,118,98,20
2023,4.,England,10,100,135,-35
2023,5.,Wales,6,84,147,-63
2023,6.,Italy,1,89,149,-60
2022,1.,France,25,141,73,68
2022,2.,Ireland,21,168,63,105
2022,3.,England,10,101,96,5
2022,4.,Scotland,10,92,121,-29
2022,5.,Wales,7,76,104,-28
2022,6.,Italy,4,60,181,-121
2021,1.,Wales,20,164,103,61
2021,2.,France,16,140,103,37
2021,3.,Ireland,15,136,88,48
2021,4.,Scotland,15,138,91,47
2021,5.,England,10,112,121,-9
2021,6.,Italy,0,55,239,-184
2020,1.,England,18,121,77,44
2020,2.,France,18,138,117,21
2020,3.,Ireland,14,132,102,30
2020,4.,Scotland,14,77,59,18
2020,5.,Wales,8,119,98,21
2020,6.,Italy,0,44,178,-134
2019,1.,Wales,23,114,65,49
2019,2.,England,18,184,101,83
2019,3.,Ireland,14,101,100,1
2019,4.,France,10,93,118,-25
2019,5.,Scotland,9,105,125,-20
2019,6.,Italy,0,79,167,-88
2018,1.,Ireland,23,160,82,78
2018,2.,Wales,15,119,83,36
2018,3.,Scotland,13,101,128,-27
2018,4.,France,11,108,94,14
2018,5.,England,10,102,92,10
2018,6.,Italy,1,92,203,-111
2017,1.,England,19,146,81,65
2017,2.,Ireland,14,126,77,49
2017,3.,France,14,107,90,17
2017,4.,Scotland,14,122,118,4
2017,5.,Wales,10,102,86,16
2017,6.,Italy,0,50,201,-151
2016,1.,England,10,132,70,62
2016,2.,Wales,7,150,88,62
2016,3.,Ireland,5,128,87,41
2016,4.,Scotland,4,122,115,7
2016,5.,France,4,82,109,-27
2016,6.,Italy,0,79,224,-145
2015,1.,Ireland,8,119,56,63
2015,2.,England,8,157,100,57
2015,3.,Wales,8,146,93,53
2015,4.,France,4,103,101,2
2015,5.,Italy,2,62,182,-120
2015,6.,Scotland,0,73,128,-55
2014,1.,Ireland,8,132,49,83
2014,2.,England,8,138,65,73
2014,3.,Wales,6,122,79,43
2014,4.,France,6,101,100,1
2014,5.,Scotland,2,47,138,-91
2014,6.,Italy,0,63,172,-109
2013,1.,Wales,8,122,66,56
2013,2.,England,8,94,78,16
2013,3.,Scotland,4,98,107,-9
2013,4.,Italy,4,75,111,-36
2013,5.,Ireland,3,72,81,-9
2013,6.,France,3,73,91,-18
2012,1.,Wales,10,109,58,51
2012,2.,England,8,98,71,27
2012,3.,Ireland,5,121,94,27
2012,4.,France,5,101,86,15
2012,5.,Italy,2,53,121,-68
2012,6.,Scotland,0,56,108,-52
2011,1.,England,8,132,81,51
2011,2.,France,6,117,91,26
2011,3.,Ireland,6,93,81,12
2011,4.,Wales,6,95,89,6
2011,5.,Scotland,2,82,109,-27
2011,6.,Italy,2,70,138,-68
2010,1.,France,10,135,69,66
2010,2.,Ireland,6,106,95,11
2010,3.,England,5,88,76,12
2010,4.,Wales,4,113,117,-4
2010,5.,Scotland,3,83,100,-17
2010,6.,Italy,2,69,137,-68
2009,1.,Ireland,10,121,73,48
2009,2.,England,6,124,70,54
2009,3.,France,6,124,101,23
2009,4.,Wales,6,100,81,19
2009,5.,Scotland,2,79,102,-23
2009,6.,Italy,0,49,170,-121
2008,1.,Wales,10,148,66,82
2008,2.,England,6,108,83,25
2008,3.,France,6,103,93,10
2008,4.,Ireland,4,93,99,-6
2008,5.,Scotland,2,69,123,-54
2008,6.,Italy,2,74,131,-57
2007,1.,France,8,155,86,69
2007,2.,Ireland,8,149,84,65
2007,3.,England,6,119,115,4
2007,4.,Italy,4,94,147,-53
2007,5.,Wales,2,86,113,-27
2007,6.,Scotland,2,95,153,-58
2006,1.,France,8,148,85,63
2006,2.,Ireland,8,131,97,34
2006,3.,Scotland,6,78,81,-3
2006,4.,England,4,120,106,14
2006,5.,Wales,3,80,135,-55
2006,6.,Italy,1,72,125,-53
2005,1.,Wales,10,151,77,74
2005,2.,France,8,134,82,52
2005,3.,Ireland,6,126,101,25
2005,4.,England,4,121,77,44
2005,5.,Scotland,2,84,155,-71
2005,6.,Italy,0,55,179,-124
2004,1.,France,10,144,60,84
2004,2.,Ireland,8,128,82,46
2004,3.,England,6,150,86,64
2004,4.,Wales,4,125,116,9
2004,5.,Italy,2,42,152,-110
2004,6.,Scotland,0,53,146,-93
2003,1.,England,10,173,46,127
2003,2.,Ireland,8,119,97,22
2003,3.,France,6,153,75,78
2003,4.,Scotland,4,81,161,-80
2003,5.,Italy,2,100,185,-85
2003,6.,Wales,0,82,144,-62
2002,1.,France,10,156,75,81
2002,2.,England,8,184,53,131
2002,3.,Ireland,6,145,138,7
2002,4.,Scotland,4,91,128,-37
2002,5.,Wales,2,119,188,-69
2002,6.,Italy,0,70,183,-113
2001,1.,England,8,229,80,149
2001,2.,Ireland,8,129,89,40
2001,3.,Scotland,5,92,116,-24
2001,4.,Wales,5,125,166,-41
2001,5.,France,4,115,138,-23
2001,6.,Italy,0,106,207,-101
2000,1.,England,8,183,70,113
2000,2.,France,6,140,92,48
2000,3.,Ireland,6,168,133,35
2000,4.,Wales,6,111,135,-24
2000,5.,Scotland,2,95,145,-50
2000,6.,Italy,2,106,228,-122
