Year,Country
1987,Australia
1987,England
1987,Wales
1987,Ireland
1987,New Zealand
1987,Fiji
1987,France
1987,Scotland
1991,New Zealand
1991,England
1991,Scotland
1991,Ireland
1991,Australia
1991,Samoa
1991,France
1991,Canada
1995,South Africa
1995,Australia
1995,England
1995,Samoa
1995,New Zealand
1995,Ireland
1995,France
1995,Scotland
1999,South Africa
1999,Scotland
1999,New Zealand
1999,England
1999,France
1999,Fiji
1999,Wales
1999,Samoa
1999,Australia
1999,Ireland
2003,Australia
2003,Ireland
2003,France
2003,Scotland
2003,England
2003,South Africa
2003,New Zealand
2003,Wales
2007,South Africa
2007,England
2007,Australia
2007,Fiji
2007,New Zealand
2007,Scotland
2007,Argentina
2007,France
2011,New Zealand
2011,France
2011,England
2011,Argentina
2011,Ireland
2011,Australia
2011,South Africa
2011,Wales
2015,Australia
2015,Wales
2015,South Africa
2015,Scotland
2015,New Zealand
2015,Argentina
2015,Ireland
2015,France
2019,Japan
2019,Ireland
2019,New Zealand
2019,South Africa
2019,England
2019,France
2019,Wales
2019,Australia
2023,France
2023,New Zealand
2023,Ireland
2023,South Africa
2023,Wales
2023,Fiji
2023,England
2023,Argentina
